diagnostic_scope,breakdown,value,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r
Demand Reversal / Hold — Calls,watchlist_bucket,Developing Scenario,1069,ok,41.72,7.86,-0.088,-94.598,2.345,-9.482
Supply Rejection — Puts,watchlist_bucket,Final / Actionable,150,ok,31.33,8.0,-0.277,-41.521,1.513,-3.228
Supply Rejection — Puts,watchlist_bucket,Developing Scenario,1041,ok,41.21,7.3,-0.065,-67.939,2.151,-1.775
all_reversal_rejection,watchlist_bucket,Final / Actionable,297,ok,36.36,9.76,-0.122,-36.311,1.36,-2.234
all_reversal_rejection,watchlist_bucket,Developing Scenario,2110,ok,41.47,7.58,-0.077,-162.537,2.249,-5.68
Demand Reversal / Hold — Calls,wick_quality_bucket,bad_entry_side_wick,54,ok,38.89,5.56,-0.077,-4.184,0.967,-2.697
Demand Reversal / Hold — Calls,wick_quality_bucket,favorable_rejection_wick,189,ok,37.57,8.99,-0.082,-15.502,0.921,-1.012
Demand Reversal / Hold — Calls,wick_quality_bucket,acceptable_wick,973,ok,42.65,8.32,-0.072,-69.702,2.525,-10.256
Supply Rejection — Puts,wick_quality_bucket,bad_entry_side_wick,66,ok,43.94,9.09,-0.021,-1.401,1.059,-0.895
Supply Rejection — Puts,wick_quality_bucket,favorable_rejection_wick,164,ok,40.24,7.32,-0.082,-13.438,7.394,-5.201
Supply Rejection — Puts,wick_quality_bucket,acceptable_wick,961,ok,39.65,7.28,-0.098,-94.621,1.232,-1.478
all_reversal_rejection,wick_quality_bucket,bad_entry_side_wick,120,ok,41.67,7.5,-0.047,-5.585,1.018,-1.706
all_reversal_rejection,wick_quality_bucket,favorable_rejection_wick,353,ok,38.81,8.22,-0.082,-28.94,3.928,-2.958
all_reversal_rejection,wick_quality_bucket,acceptable_wick,1934,ok,41.16,7.81,-0.085,-164.323,1.883,-5.894
